id,date,latitude,longitude,treatment,x,y,z,quad_south,quad_west,experiment,notes
1,5/15/2019,34.78254,-115.66396,Poll,1,1,142,4,4,mimic,
2,5/15/2019,34.78308,-115.66332,Open,,,,1,10,mimic,
3,5/15/2019,34.78299,-115.66322,Zero,94,89,104,2,10,mimic,
4,5/15/2019,34.78254,-115.66252,Fifteen,190,114,114,8,9,mimic,
5,5/15/2019,34.78291,-115.66252,Thirty,175,165,122,6,1,mimic,
6,5/15/2019,34.78234,-115.66302,Shrub,302,201,106,9,6,mimic,
7,5/16/2019,34.78256,-115.66291,Poll,1,1,170,5,5,mimic,
8,5/16/2019,34.78237,-115.66339,Open,,,,8,8,mimic,
9,5/16/2019,34.7878225,-115.66264,Zero,112,94,107,8,1,mimic,
10,5/16/2019,34.78276,-115.66293,Fifteen,43,38,35,3,4,mimic,
11,5/16/2019,34.78291,-115.66265,Thirty,163,155,102,0,3,mimic,
12,5/16/2019,34.78232,-115.66299,Shrub,765,744,246,8,4,mimic,
13,5/17/2019,34.78202,-115.6628,Pole,1,1,67,10,4,mimic,inches
14,5/17/2019,34.7822,-115.66336,Open,,,,7,10,mimic,
15,5/17/2019,34.7829,-115.66334,Zero,,,,8,2,mimic,
16,5/17/2019,34.78273,-115.6629,Fifteen,71,41,59,4,2,mimic,
17,5/17/2019,34.78245,-115.6634,Thirty,48,49,41,7,7,mimic,
18,5/17/2019,34.78242,-115.6633,Shrub,43,51,32,7,7,mimic,
19,5/19/2019,34.78276,-115.6631,Pole,1,1,64,3,6,mimic,
20,5/19/2019,34.78288,-115.6632,Open,,,,3,10,mimic,
21,5/19/2019,34.78223,-115.66388,Zero,48,44,42,10,10,mimic,
22,5/19/2019,34.78231,-115.66378,Fifteen,57,44,45,9,9,mimic,
23,5/19/2019,34.78241,-115.66283,Thirty,52,39,57,6,3,mimic,
24,5/19/2019,34.78238,-115.66335,Shrub,84,65,39,9,8,mimic,
25,5/20/2019,34.7826,-115.66328,Pole,1,1,67,5,8,mimic,
26,5/20/2019,34.78231,-115.66263,Open,,,,7,1,mimic,
27,5/20/2019,34.78257,-115.6629,Zero,54,50,45,4,5,mimic,
28,5/20/2019,34.78299,-115.66266,Fifteen,67,45,46,0,3,mimic,
29,5/20/2019,34.7824,-115.66286,Thirty,57,47,37,3,7,mimic,
30,5/20/2019,34.78268,-115.66341,Shrub,118,110,75,4,10,mimic,
31,5/21/2019,34.78294,-115.66315,Pole,1,1,64,0,8,mimic,
32,5/21/2019,34.78286,-115.66325,Open,,,,9,1,mimic,
33,5/21/2019,34.78215,-115.66313,Zero,42,38,31,4,10,mimic,
34,5/21/2019,34.78252,-115.66342,Fifteen,105,105,53,8,6,mimic,
35,5/21/2019,34.78216,-115.6636,Thirty,26,25,28,8,10,mimic,
36,5/21/2019,34.7827,-115.66321,Shrub,91,72,58,8,4,mimic,
37,5/23/2019,34.78263,-115.66346,Pole,1,1,65,5,9,mimic,
38,5/23/2019,34.78268,-115.6627,Open,,,,5,2,mimic,
39,5/23/2019,34.78246,-115.66255,Zero,65,55,45,5,0,mimic,
40,5/23/2019,34.78234,-115.66251,Fifteen,42,35,38,7,1,mimic,
41,5/23/2019,34.78265,-115.66258,Thirty,28,24,53,3,1,mimic,
42,5/23/2019,34.78221,-115.66352,Shrub,97,91,90,9,8,mimic,
43,5/24/2019,34.78311,-115.66329,Pole,1,1,66,0,10,mimic,
44,5/24/2019,34.78243,-115.66261,Open,,,,4,1,mimic,
45,5/24/2019,34.78222,-115.6312,Zero,79,63,56,9,5,mimic,
46,5/24/2019,34.78222,-115.66376,Fifteen,55,40,55,9,10,mimic,
47,5/24/2019,34.78312,-115.66247,Thirty,36,23,46,0,2,mimic,
48,5/24/2019,34.7827,-115.66325,Shrub,50,50,33,3,7,mimic,
49,5/25/2019,34.78248,-115.66273,Pole,1,1,65,4,2,mimic,
50,5/25/2019,34.78303,-115.66284,Open,,,,0,5,mimic,
51,5/25/2019,34.78301,-115.66284,Zero,123,99,68,0,5,mimic,
52,5/25/2019,34.78277,-115.66321,Fifteen,61,65,44,2,8,mimic,
53,5/25/2019,34.78291,-115.66289,Thirty,56,50,55,1,5,mimic,
54,5/25/2019,34.78256,-115.66328,Shrub,111,82,65,5,7,mimic,
55,5/26/2019,34.78307,-115.66255,Pole,1,1,67,0,2,mimic,
56,5/26/2019,34.78286,-115.66293,Open,,,,2,6,mimic,
57,5/26/2019,34.78209,-115.66324,Zero,37,35,40,9,5,mimic,
58,5/26/2019,34.78262,-115.66285,Fifteen,49,37,54,4,4,mimic,
59,5/26/2019,34.78271,-115.66339,Thirty,52,31,70,3,9,mimic,
60,5/26/2019,34.78211,-115.66259,Shrub,80,60,42,9,0,mimic,
61,5/27/2019,34.78263,-115.66277,Pole,1,1,66,4,4,mimic,replacement for day 1 pole which had faulty design
62,5/28/2019,,,,,,,,,flower,
63,5/28/2019,34.78254,-115.66306,Zero,80,64,57,6,6,flower,
64,5/28/2019,34.78295,-115.66336,Fifteen,103,92,72,0,10,flower,
65,5/28/2019,34.78297,-115.66254,Thirty,59,58,60,1,1,flower,
66,5/28/2019,34.78226,-115.66345,Open,,,,9,7,flower,
67,5/28/2019,34.78283,-115.66337,Shrub,65,51,32,3,10,flower,
68,5/29/2019,34.78228,-115.66301,Zero,72,68,61,8,5,flower,
69,5/29/2019,34.78222,-115.66309,Fifteen,75,58,52,9,5,flower,
70,5/29/2019,34.78261,-115.66345,Thirty,54,44,44,4,10,flower,
71,5/29/2019,34.78236,-115.66348,Open,,,,8,8,flower,
72,5/29/2019,34.78212,-115.66343,Shrub,77,54,45,10,7,flower,
73,5/30/2019,34.78312,-115.66278,Pole,1,1,65,0,5,flower,
74,6/1/2019,34.78259,-115.66299,Thirty,82,55,47,6,9,flower,
75,6/1/2019,34.78302,-115.66267,Pole,1,1,67,2,4,flower,
76,6/2/2019,34.78302,-115.66271,Pole,1,1,68,1,4,flower,
77,6/3/2019,34.78241,-115.66275,Pole,1,1,66,6,2,flower,
78,6/4/2019,34.78343,-115.66315,Pole,1,1,65,5,7,flower,
79,6/5/2019,34.78239,-115.66248,Pole,1,1,65,5,5,flower,
80,6/6/2019,34.78254,-115.66263,Pole,1,1,69,5,1,flower,
